tx_000001,533,834
tx_000002,959,3176
tx_000003,945,4873
tx_000004,744,2996
tx_000005,252,4857
tx_000006,645,4551
tx_000007,546,4262
tx_000008,321,4836
tx_000009,120,2651
tx_000010,173,4007
tx_000011,991,702
tx_000012,813,3808
tx_000013,542,1009
tx_000014,100,1654
tx_000015,979,2578
tx_000016,646,3085
tx_000017,854,1667
tx_000018,158,3856
tx_000019,456,3191
tx_000020,258,3732
tx_000021,593,4440
tx_000022,843,1530
tx_000023,516,1819
tx_000024,128,2612
tx_000025,611,1767
tx_000026,595,4600
tx_000027,752,926
tx_000028,218,3941
tx_000029,578,807
tx_000030,265,4058
tx_000031,461,3094
tx_000032,374,2636
tx_000033,683,171
tx_000034,375,3124
tx_000035,128,3589
tx_000036,149,1482
tx_000037,373,3967
tx_000038,232,4654
tx_000039,333,3236
tx_000040,614,3884
tx_000041,662,1607
tx_000042,254,2795
tx_000043,668,3444
tx_000044,307,2968
tx_000045,607,3721
tx_000046,112,348
tx_000047,242,4174
tx_000048,183,4138
tx_000049,659,1586
tx_000050,429,4437
tx_000051,547,3073
tx_000052,159,1643
tx_000053,914,3305
tx_000054,748,3124
tx_000055,974,329
tx_000056,308,1467
tx_000057,507,2246
tx_000058,967,915
tx_000059,888,4428
tx_000060,207,597
tx_000061,133,3519
tx_000062,464,475
tx_000063,106,4329
tx_000064,543,2990
tx_000065,581,2049
tx_000066,170,760
tx_000067,812,4211
tx_000068,220,916
tx_000069,411,1188
tx_000070,863,3063
tx_000071,919,2441
tx_000072,630,356
tx_000073,692,2612
tx_000074,324,1784
tx_000075,558,2425
tx_000076,128,3764
tx_000077,229,3260
tx_000078,595,838
tx_000079,512,3654
tx_000080,236,2215
tx_000081,476,3207
tx_000082,704,1954
tx_000083,362,557
tx_000084,540,4353
tx_000085,383,1551
tx_000086,424,582
tx_000087,424,451
tx_000088,319,4280
tx_000089,327,927
tx_000090,981,292
tx_000091,257,288
tx_000092,763,4647
tx_000093,857,4655
tx_000094,694,1858
tx_000095,125,3162
tx_000096,749,3523
tx_000097,623,4562
tx_000098,286,4430
tx_000099,580,4577
tx_000100,409,391
tx_000101,601,3890
tx_000102,195,3122
tx_000103,973,3808
tx_000104,523,278
tx_000105,286,1914
tx_000106,828,1452
tx_000107,198,1339
tx_000108,876,1057
tx_000109,315,1091
tx_000110,681,3484
tx_000111,524,3372
tx_000112,204,1475
tx_000113,773,4434
tx_000114,469,3636
tx_000115,917,3536
tx_000116,987,4740
tx_000117,262,1955
tx_000118,588,2268
tx_000119,479,4892
tx_000120,256,821
tx_000121,228,3749
tx_000122,211,3375
tx_000123,213,3117
tx_000124,351,4931
tx_000125,545,1085
tx_000126,113,515
tx_000127,452,4421
tx_000128,603,2874
tx_000129,138,1393
tx_000130,380,2856
tx_000131,186,3731
tx_000132,617,4281
tx_000133,700,2695
tx_000134,762,4104
tx_000135,501,2498
tx_000136,986,1422
tx_000137,495,4802
tx_000138,870,4201
tx_000139,334,3150
tx_000140,579,3232
tx_000141,321,813
tx_000142,352,395
tx_000143,469,3457
tx_000144,331,2557
tx_000145,942,894
tx_000146,358,1275
tx_000147,914,2554
tx_000148,758,245
tx_000149,217,5000
tx_000150,472,634
tx_000151,556,3324
tx_000152,559,706
tx_000153,970,1458
tx_000154,393,2394
tx_000155,870,948
tx_000156,509,4171
tx_000157,466,2269
tx_000158,911,2624
tx_000159,268,320
tx_000160,330,490
tx_000161,600,1861
tx_000162,733,1885
tx_000163,479,989
tx_000164,764,2906
tx_000165,366,3995
tx_000166,727,3463
tx_000167,270,1163
tx_000168,563,3735
tx_000169,815,3814
tx_000170,640,4934
tx_000171,117,3676
tx_000172,725,4931
tx_000173,470,577
tx_000174,705,2460
tx_000175,408,3044
tx_000176,570,3261
tx_000177,457,2807
tx_000178,739,512
tx_000179,924,1210
tx_000180,430,373
tx_000181,881,3512
tx_000182,336,2442
tx_000183,994,3252
tx_000184,150,1861
tx_000185,778,2092
tx_000186,355,2241
tx_000187,453,2470
tx_000188,840,197
tx_000189,892,3504
tx_000190,313,2747
tx_000191,761,854
tx_000192,523,1866
tx_000193,694,306
tx_000194,583,1400
tx_000195,459,2553
tx_000196,241,4810
tx_000197,279,2319
tx_000198,214,4195
tx_000199,824,1229
tx_000200,434,2891
tx_000201,314,2836
tx_000202,860,794
tx_000203,631,1102
tx_000204,666,2421
tx_000205,424,1198
tx_000206,649,1053
tx_000207,978,1179
tx_000208,408,3297
tx_000209,333,4334
tx_000210,779,425
tx_000211,825,2046
tx_000212,327,1414
tx_000213,785,2114
tx_000214,866,4891
tx_000215,141,1951
tx_000216,864,1670
tx_000217,733,2049
tx_000218,983,1089
tx_000219,203,2952
tx_000220,384,1074
tx_000221,134,480
tx_000222,112,4739
tx_000223,148,2694
tx_000224,994,839
tx_000225,313,4203
tx_000226,956,4225
tx_000227,339,3278
tx_000228,585,2662
tx_000229,407,1509
tx_000230,767,3248
tx_000231,878,424
tx_000232,138,4649
tx_000233,378,1438
tx_000234,396,926
tx_000235,710,160
tx_000236,163,3405
tx_000237,719,2189
tx_000238,890,1557
tx_000239,633,2669
tx_000240,957,2330
tx_000241,714,4097
tx_000242,166,4202
tx_000243,672,245
tx_000244,359,4594
tx_000245,883,1950
tx_000246,864,2481
tx_000247,992,2785
tx_000248,284,2386
tx_000249,328,3750
tx_000250,756,650
tx_000251,563,3658
tx_000252,192,2935
tx_000253,961,4761
tx_000254,544,4075
tx_000255,168,2982
tx_000256,301,4049
tx_000257,203,3928
tx_000258,106,3149
tx_000259,481,3270
tx_000260,913,3743
tx_000261,583,3038
tx_000262,556,2913
tx_000263,830,838
tx_000264,926,1450
tx_000265,965,126
tx_000266,197,3485
tx_000267,363,1543
tx_000268,773,4289
tx_000269,516,693
tx_000270,342,4590
tx_000271,835,3990
tx_000272,675,594
tx_000273,603,1415
tx_000274,606,1652
tx_000275,785,297
tx_000276,947,3833
tx_000277,283,4296
tx_000278,751,945
tx_000279,198,4729
tx_000280,887,3853
tx_000281,185,1018
tx_000282,904,2045
tx_000283,228,1268
tx_000284,982,825
tx_000285,966,1079
tx_000286,822,4125
tx_000287,645,1512
tx_000288,284,1140
tx_000289,514,4615
tx_000290,979,4671
tx_000291,574,1520
tx_000292,192,1422
tx_000293,333,3873
tx_000294,398,2147
tx_000295,288,3452
tx_000296,639,4902
tx_000297,776,3446
tx_000298,248,138
tx_000299,392,470
tx_000300,1000,890
tx_000301,894,4815
tx_000302,854,4582
tx_000303,958,2895
tx_000304,899,1057
tx_000305,868,4005
tx_000306,350,576
tx_000307,546,2319
tx_000308,979,3661
tx_000309,925,4042
tx_000310,747,1135
tx_000311,984,2207
tx_000312,410,2651
tx_000313,974,2948
tx_000314,967,2848
tx_000315,361,716
tx_000316,247,1324
tx_000317,530,574
tx_000318,277,2934
tx_000319,491,1063
tx_000320,575,4772
tx_000321,332,2262
tx_000322,509,3033
tx_000323,611,2765
tx_000324,931,2481
tx_000325,474,1503
tx_000326,420,1148
tx_000327,152,2769
tx_000328,611,4074
tx_000329,585,697
tx_000330,521,2431
tx_000331,379,699
tx_000332,288,540
tx_000333,874,3006
tx_000334,823,1755
tx_000335,524,465
tx_000336,676,2849
tx_000337,998,4853
tx_000338,700,3533
tx_000339,640,547
tx_000340,993,2049
tx_000341,921,2410
tx_000342,288,960
tx_000343,622,1505
tx_000344,127,3974
tx_000345,972,3263
tx_000346,592,245
tx_000347,609,3751
tx_000348,419,1840
tx_000349,269,2299
tx_000350,327,3414
tx_000351,236,866
tx_000352,285,601
tx_000353,774,2911
tx_000354,342,1714
tx_000355,541,457
